"sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
0.176616915422886,0,0,0.17910447761194,0,0,0,0,0,0,0.159203980099502
"sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
0.199004975124378,0.129353233830846,0.216417910447761,0.216417910447761,0.213930348258706,0.213930348258706,0.223880597014925,0.0945273631840796,0.221393034825871,0.194029850746269,0.196517412935323
"sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
0.149253731343284,0,0,0.169154228855721,0,0,0.00497512437810945,0,0.00497512437810945,0,0.159203980099502
0,0,0,0,0,0,0,0,0,0,0
0.0223880597014925,0.0124378109452736,0.0323383084577114,0.0223880597014925,0.00248756218905473,0.00248756218905473,0.101990049751244,0.0373134328358209,0.104477611940299,0.191542288557214,0.0248756218905473
0.216417910447761,0,0,0.216417910447761,0,0,0,0,0,0,0.203980099502488
0.196517412935323,0.156716417910448,0.194029850746269,0.201492537313433,0.174129353233831,0.174129353233831,0.221393034825871,0.0646766169154229,0.223880597014925,0.00746268656716418,0.129353233830846
0.213930348258706,0.146766169154229,0.186567164179104,0.23134328358209,0.241293532338308,0.241293532338308,0.139303482587065,0.101990049751244,0.134328358208955,0.216417910447761,0.246268656716418
0.156716417910448,0.109452736318408,0.0995024875621891,0.161691542288557,0.174129353233831,0.174129353233831,0.0174129353233831,0.0497512437810945,0.0223880597014925,0.156716417910448,0.156716417910448
0.17910447761194,0,0,0.17910447761194,0,0,0,0,0,0,0.203980099502488
0.17910447761194,0,0,0.17910447761194,0,0,0,0,0,0,0.203980099502488
0.203980099502488,0.144278606965174,0.194029850746269,0.18407960199005,0.164179104477612,0.164179104477612,0.208955223880597,0.106965174129353,0.221393034825871,0.18407960199005,0.134328358208955
0.146766169154229,0,0,0.144278606965174,0,0,0,0,0,0,0.146766169154229
0.0472636815920398,0.0447761194029851,0.0646766169154229,0.0497512437810945,0.0323383084577114,0.0323383084577114,0.129353233830846,0.0174129353233831,0.104477611940299,0.131840796019901,0.00995024875621891
0.0472636815920398,0.0298507462686567,0.0522388059701493,0.0522388059701493,0.0472636815920398,0.0472636815920398,0.054726368159204,0.0124378109452736,0.0398009950248756,0.0497512437810945,0.149253731343284
0.00746268656716418,0,0.0149253731343284,0.00995024875621891,0.0149253731343284,0.0149253731343284,0.00995024875621891,0.0223880597014925,0.00995024875621891,0.164179104477612,0.0572139303482587
0.0398009950248756,0.0149253731343284,0.0373134328358209,0.0497512437810945,0.0398009950248756,0.0398009950248756,0.0298507462686567,0.00497512437810945,0.0298507462686567,0.194029850746269,0.218905472636816
0.139303482587065,0,0,0.131840796019901,0,0,0,0,0,0,0.164179104477612
0.206467661691542,0.146766169154229,0.194029850746269,0.208955223880597,0.218905472636816,0.218905472636816,0.13681592039801,0.0422885572139304,0.129353233830846,0.199004975124378,0.111940298507463
0.176616915422886,0,0,0.199004975124378,0,0,0,0,0,0,0.171641791044776
0.186567164179104,0.236318407960199,0.211442786069652,0.196517412935323,0.156716417910448,0.156716417910448,0.194029850746269,0.0597014925373134,0.171641791044776,0.0323383084577114,0.208955223880597
0,0,0,0,0,0,0,0,0,0,0
0.106965174129353,0,0,0.13681592039801,0.0472636815920398,0.0472636815920398,0,0,0.0945273631840796,0,0.126865671641791
0.0597014925373134,0.134328358208955,0.0572139303482587,0.0597014925373134,0.0497512437810945,0.0497512437810945,0.0572139303482587,0.101990049751244,0.0621890547263682,0.201492537313433,0.194029850746269
0.0970149253731343,0.0373134328358209,0.0845771144278607,0.0970149253731343,0.101990049751244,0.101990049751244,0.0945273631840796,0.027363184079602,0.0895522388059701,0.082089552238806,0.18407960199005
0,0,0,0,0,0,0,0,0,0,0
0.201492537313433,0.141791044776119,0.213930348258706,0.211442786069652,0.199004975124378,0.199004975124378,0.149253731343284,0.104477611940299,0.151741293532338,0.233830845771144,0.211442786069652
0.199004975124378,0.201492537313433,0.174129353233831,0.194029850746269,0.191542288557214,0.191542288557214,0.156716417910448,0.0870646766169154,0.174129353233831,0.246268656716418,0.223880597014925
0.0422885572139304,0.0124378109452736,0.0447761194029851,0.0472636815920398,0.0472636815920398,0.0472636815920398,0.0721393034825871,0.00995024875621891,0.0746268656716418,0.121890547263682,0.0323383084577114
0.154228855721393,0,0,0.141791044776119,0,0,0.00248756218905473,0,0.00248756218905473,0,0.149253731343284
0,0,0,0,0,0,0,0,0,0,0
0.213930348258706,0.166666666666667,0.206467661691542,0.218905472636816,0.208955223880597,0.208955223880597,0.221393034825871,0.0696517412935323,0.221393034825871,0.17910447761194,0.211442786069652
0.119402985074627,0,0,0.151741293532338,0,0,0,0,0,0,0.141791044776119
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.23134328358209,0.186567164179104,0.238805970149254,0.23134328358209,0.208955223880597,0.208955223880597,0.218905472636816,0.0646766169154229,0.216417910447761,0.129353233830846,0.146766169154229
0.0845771144278607,0.0497512437810945,0.082089552238806,0.0945273631840796,0.0920398009950249,0.0920398009950249,0.129353233830846,0.0472636815920398,0.116915422885572,0.191542288557214,0.106965174129353
0.139303482587065,0,0,0.131840796019901,0,0,0,0,0,0,0.189054726368159
