"sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
0.18407960199005,0,0,0.18407960199005,0,0,0,0,0,0,6
0.159203980099502,0,0,0.159203980099502,0,0,0,0,0,0,0
0.0174129353233831,0.027363184079602,0.0199004975124378,0.0199004975124378,0.0199004975124378,0.0199004975124378,0.0248756218905473,0.0124378109452736,0.0199004975124378,0,7
0,0,0,0,0,0,0,0,0,360,915
0.236318407960199,0,0.191542288557214,0.23134328358209,0.154228855721393,0.154228855721393,0.171641791044776,0.0447761194029851,0.191542288557214,0,1
0.134328358208955,0,0,0.134328358208955,0,0,0,0,0.0796019900497512,0,365
0.171641791044776,0.201492537313433,0.151741293532338,0.141791044776119,0.203980099502488,0.203980099502488,0.121890547263682,0.146766169154229,0.141791044776119,0,99
0,0,0,0,0,0,0,0,0,400,774
0.186567164179104,0,0,0.186567164179104,0,0,0.00248756218905473,0,0.00248756218905473,0,1
0.0497512437810945,0.126865671641791,0.0422885572139304,0.0422885572139304,0.0398009950248756,0.0398009950248756,0.0323383084577114,0.027363184079602,0.0298507462686567,0,7
0,0,0,0,0,0,0.00248756218905473,0,0.00248756218905473,339,936
0.109452736318408,0.201492537313433,0.0995024875621891,0.0870646766169154,0.116915422885572,0.116915422885572,0.0646766169154229,0.13681592039801,0.0671641791044776,0,1
0.0696517412935323,0.0621890547263682,0.0323383084577114,0.0472636815920398,0.0721393034825871,0.0721393034825871,0.0248756218905473,0.0298507462686567,0.0298507462686567,291,852
0.0746268656716418,0.0796019900497512,0.0621890547263682,0.0597014925373134,0.0721393034825871,0.0721393034825871,0.0447761194029851,0.101990049751244,0.0447761194029851,283,863
0.129353233830846,0,0.0970149253731343,0.116915422885572,0.0995024875621891,0.0995024875621891,0.0920398009950249,0,0.104477611940299,311,425
0.149253731343284,0,0,0.159203980099502,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,1
0.0248756218905473,0.0422885572139304,0.0298507462686567,0.0223880597014925,0.0248756218905473,0.0248756218905473,0.0199004975124378,0.0223880597014925,0.0199004975124378,0,942
0.203980099502488,0,0,0.203980099502488,0,0,0,0,0,333,9
0.0472636815920398,0.0248756218905473,0.0422885572139304,0.0522388059701493,0.0472636815920398,0.0472636815920398,0.0174129353233831,0.0223880597014925,0.0174129353233831,0,906
0.181592039800995,0,0,0.196517412935323,0,0,0,0,0,332,57
0.186567164179104,0,0,0.189054726368159,0,0,0,0,0,0,19
0.191542288557214,0,0,0.196517412935323,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,1
0.233830845771144,0,0.144278606965174,0.206467661691542,0.161691542288557,0.161691542288557,0.134328358208955,0.0373134328358209,0.151741293532338,0,428
0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00497512437810945,0.00497512437810945,0.00497512437810945,335,940
0.166666666666667,0,0,0.191542288557214,0,0,0,0,0,0,49
0.164179104477612,0,0,0.189054726368159,0.0970149253731343,0.0970149253731343,0,0,0.146766169154229,0,354
0.189054726368159,0,0,0.161691542288557,0,0,0,0,0,0,23
0.18407960199005,0,0,0.18407960199005,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,1
0.149253731343284,0.0920398009950249,0.0771144278606965,0.111940298507463,0.176616915422886,0.176616915422886,0.0522388059701493,0.0298507462686567,0.0522388059701493,0,451
0.0124378109452736,0.0124378109452736,0.00746268656716418,0.0124378109452736,0.0124378109452736,0.0124378109452736,0.0174129353233831,0.00248756218905473,0.0124378109452736,455,908
