"","sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
"sumX",0.18407960199005,0,0,0.18407960199005,0,0,0,0,0,0,6
"2",0.159203980099502,0,0,0.159203980099502,0,0,0,0,0,0,0
"3",0.0174129353233831,0.027363184079602,0.0199004975124378,0.0199004975124378,0.0199004975124378,0.0199004975124378,0.0248756218905473,0.0124378109452736,0.0199004975124378,0,7
"4",0,0,0,0,0,0,0,0,0,360,915
"5",0.236318407960199,0,0.191542288557214,0.23134328358209,0.154228855721393,0.154228855721393,0.171641791044776,0.0447761194029851,0.191542288557214,0,1
"6",0.134328358208955,0,0,0.134328358208955,0,0,0,0,0.0796019900497512,0,365
"7",0.171641791044776,0.201492537313433,0.151741293532338,0.141791044776119,0.203980099502488,0.203980099502488,0.121890547263682,0.146766169154229,0.141791044776119,0,99
"8",0,0,0,0,0,0,0,0,0,400,774
"9",0.186567164179104,0,0,0.186567164179104,0,0,0.00248756218905473,0,0.00248756218905473,0,1
"10",0.0497512437810945,0.126865671641791,0.0422885572139304,0.0422885572139304,0.0398009950248756,0.0398009950248756,0.0323383084577114,0.027363184079602,0.0298507462686567,0,7
"11",0,0,0,0,0,0,0.00248756218905473,0,0.00248756218905473,339,936
"12",0.109452736318408,0.201492537313433,0.0995024875621891,0.0870646766169154,0.116915422885572,0.116915422885572,0.0646766169154229,0.13681592039801,0.0671641791044776,0,1
"13",0.0696517412935323,0.0621890547263682,0.0323383084577114,0.0472636815920398,0.0721393034825871,0.0721393034825871,0.0248756218905473,0.0298507462686567,0.0298507462686567,291,852
"14",0.0746268656716418,0.0796019900497512,0.0621890547263682,0.0597014925373134,0.0721393034825871,0.0721393034825871,0.0447761194029851,0.101990049751244,0.0447761194029851,283,863
"15",0.129353233830846,0,0.0970149253731343,0.116915422885572,0.0995024875621891,0.0995024875621891,0.0920398009950249,0,0.104477611940299,311,425
"16",0.149253731343284,0,0,0.159203980099502,0,0,0,0,0,0,19
"17",0,0,0,0,0,0,0,0,0,0,1
"18",0.0248756218905473,0.0422885572139304,0.0298507462686567,0.0223880597014925,0.0248756218905473,0.0248756218905473,0.0199004975124378,0.0223880597014925,0.0199004975124378,0,942
"19",0.203980099502488,0,0,0.203980099502488,0,0,0,0,0,333,9
"20",0.0472636815920398,0.0248756218905473,0.0422885572139304,0.0522388059701493,0.0472636815920398,0.0472636815920398,0.0174129353233831,0.0223880597014925,0.0174129353233831,0,906
"21",0.181592039800995,0,0,0.196517412935323,0,0,0,0,0,332,57
"22",0.186567164179104,0,0,0.189054726368159,0,0,0,0,0,0,19
"23",0.191542288557214,0,0,0.196517412935323,0,0,0,0,0,0,11
"24",0,0,0,0,0,0,0,0,0,0,1
"25",0.233830845771144,0,0.144278606965174,0.206467661691542,0.161691542288557,0.161691542288557,0.134328358208955,0.0373134328358209,0.151741293532338,0,428
"26",0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.00497512437810945,0.00497512437810945,0.00497512437810945,335,940
"27",0.166666666666667,0,0,0.191542288557214,0,0,0,0,0,0,49
"28",0.164179104477612,0,0,0.189054726368159,0.0970149253731343,0.0970149253731343,0,0,0.146766169154229,0,354
"29",0.189054726368159,0,0,0.161691542288557,0,0,0,0,0,0,23
"30",0.18407960199005,0,0,0.18407960199005,0,0,0,0,0,0,10
"31",0,0,0,0,0,0,0,0,0,0,1
"32",0.149253731343284,0.0920398009950249,0.0771144278606965,0.111940298507463,0.176616915422886,0.176616915422886,0.0522388059701493,0.0298507462686567,0.0522388059701493,0,451
"33",0.0124378109452736,0.0124378109452736,0.00746268656716418,0.0124378109452736,0.0124378109452736,0.0124378109452736,0.0174129353233831,0.00248756218905473,0.0124378109452736,455,908
"34",0.124378109452736,0,0,0.154228855721393,0,0,0,0,0.0771144278606965,320,179
"35",0.216417910447761,0.154228855721393,0.151741293532338,0.161691542288557,0.236318407960199,0.236318407960199,0.101990049751244,0.124378109452736,0.106965174129353,0,759
"36",0.0447761194029851,0.0522388059701493,0.0572139303482587,0.0422885572139304,0.0373134328358209,0.0373134328358209,0.0223880597014925,0.0223880597014925,0.0248756218905473,250,850
"37",0.0298507462686567,0.0621890547263682,0.0373134328358209,0.027363184079602,0.0199004975124378,0.0199004975124378,0.0398009950248756,0.0522388059701493,0.0398009950248756,287,929
"38",0.0373134328358209,0.0298507462686567,0.027363184079602,0.0398009950248756,0.0373134328358209,0.0373134328358209,0.0199004975124378,0.0199004975124378,0.0223880597014925,346,908
"39",0.0472636815920398,0.0497512437810945,0.027363184079602,0.0422885572139304,0.0646766169154229,0.0646766169154229,0.0199004975124378,0.0248756218905473,0.0223880597014925,328,11
"40",0.164179104477612,0,0,0.164179104477612,0,0,0.00248756218905473,0,0.00248756218905473,370,843
"41",0.0970149253731343,0.0970149253731343,0.0771144278606965,0.0696517412935323,0.106965174129353,0.106965174129353,0.0422885572139304,0.0447761194029851,0.0472636815920398,0,921
"42",0.0174129353233831,0.0472636815920398,0.0174129353233831,0.0174129353233831,0.0199004975124378,0.0199004975124378,0.0174129353233831,0.0323383084577114,0.0174129353233831,336,56
"43",0.18407960199005,0,0,0.196517412935323,0,0,0,0,0,325,891
"44",0.0721393034825871,0.0671641791044776,0.0522388059701493,0.0671641791044776,0.0671641791044776,0.0671641791044776,0.0373134328358209,0.0248756218905473,0.0373134328358209,0,870
"45",0.121890547263682,0.166666666666667,0.0895522388059701,0.101990049751244,0.0870646766169154,0.0870646766169154,0.0597014925373134,0.082089552238806,0.0621890547263682,384,849
"46",0.129353233830846,0.13681592039801,0.131840796019901,0.129353233830846,0.131840796019901,0.131840796019901,0.121890547263682,0.0721393034825871,0.129353233830846,298,50
"47",0.189054726368159,0,0,0.211442786069652,0,0,0.00248756218905473,0,0.00248756218905473,426,1
"48",0,0,0,0,0,0,0,0,0,0,896
"49",0.00746268656716418,0.00995024875621891,0.0124378109452736,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.0124378109452736,0.00497512437810945,0.00995024875621891,0,787
"50",0.0696517412935323,0.101990049751244,0.0398009950248756,0.0472636815920398,0.082089552238806,0.082089552238806,0.0199004975124378,0.0696517412935323,0.0298507462686567,334,118
"51",0.139303482587065,0,0,0.124378109452736,0,0,0,0,0.0771144278606965,225,929
"52",0.0223880597014925,0.0174129353233831,0.0223880597014925,0.0223880597014925,0.0248756218905473,0.0248756218905473,0.0248756218905473,0.0149253731343284,0.0199004975124378,0,1
"53",0,0,0,0,0,0,0,0,0,346,9
"54",0.171641791044776,0,0,0.171641791044776,0,0,0,0,0,0,897
"55",0.0970149253731343,0.0895522388059701,0.0522388059701493,0.0746268656716418,0.134328358208955,0.134328358208955,0.0323383084577114,0.0373134328358209,0.0373134328358209,0,753
"56",0.189054726368159,0.201492537313433,0.131840796019901,0.154228855721393,0.169154228855721,0.169154228855721,0.101990049751244,0.156716417910448,0.101990049751244,378,909
"57",0.0298507462686567,0.00995024875621891,0.0223880597014925,0.027363184079602,0.0348258706467662,0.0348258706467662,0.0199004975124378,0.0124378109452736,0.0174129353233831,289,6
"58",0.156716417910448,0,0,0.119402985074627,0,0,0,0,0,366,23
"59",0.161691542288557,0,0,0.151741293532338,0,0,0,0,0,0,104
"60",0.176616915422886,0,0,0.186567164179104,0,0,0,0,0,0,840
"61",0.0621890547263682,0.0895522388059701,0.054726368159204,0.0497512437810945,0.0646766169154229,0.0646766169154229,0.0746268656716418,0.0422885572139304,0.0646766169154229,0,321
"62",0.0920398009950249,0,0,0.104477611940299,0.0447761194029851,0.0447761194029851,0,0,0.0970149253731343,353,936
"63",0.0174129353233831,0.0124378109452736,0.0199004975124378,0.0174129353233831,0.0124378109452736,0.0124378109452736,0.027363184079602,0.0124378109452736,0.0199004975124378,0,10
"64",0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,339,938
"65",0.0497512437810945,0.0323383084577114,0.0348258706467662,0.0398009950248756,0.0522388059701493,0.0522388059701493,0.0248756218905473,0.0373134328358209,0.0248756218905473,0,151
"66",0.151741293532338,0,0,0.171641791044776,0,0,0,0,0.0970149253731343,337,614
"67",0.0621890547263682,0.0497512437810945,0.0248756218905473,0.0447761194029851,0.0696517412935323,0.0696517412935323,0.0223880597014925,0.0248756218905473,0.0248756218905473,0,829
"68",0.0920398009950249,0.191542288557214,0.0771144278606965,0.0746268656716418,0.121890547263682,0.121890547263682,0.0646766169154229,0.161691542288557,0.0597014925373134,434,924
"69",0.0124378109452736,0.0124378109452736,0.0124378109452736,0.0124378109452736,0.0149253731343284,0.0149253731343284,0,0.00248756218905473,0.00248756218905473,296,1
"70",0,0,0,0,0,0,0,0,0,351,464
"71",0.161691542288557,0.126865671641791,0.0646766169154229,0.109452736318408,0.144278606965174,0.144278606965174,0.0447761194029851,0.0671641791044776,0.0472636815920398,0,103
"72",0.0920398009950249,0,0.0472636815920398,0.054726368159204,0,0,0.0472636815920398,0,0.0522388059701493,287,9
"73",0.101990049751244,0,0,0.082089552238806,0,0,0,0,0,0,25
"74",0.176616915422886,0,0,0.17910447761194,0,0,0,0,0,0,767
"75",0.0771144278606965,0.0870646766169154,0.0597014925373134,0.0621890547263682,0.0771144278606965,0.0771144278606965,0.0572139303482587,0.0497512437810945,0.0572139303482587,0,656
"76",0.126865671641791,0.0746268656716418,0.0671641791044776,0.0771144278606965,0.0920398009950249,0.0920398009950249,0.0398009950248756,0.0348258706467662,0.0522388059701493,299,383
"77",0.236318407960199,0,0,0.243781094527363,0.139303482587065,0.139303482587065,0,0,0.189054726368159,341,718
"78",0.0920398009950249,0.0472636815920398,0.0845771144278607,0.0945273631840796,0.0671641791044776,0.0671641791044776,0.0646766169154229,0.0323383084577114,0.0621890547263682,0,564
"79",0.151741293532338,0.0945273631840796,0.221393034825871,0.181592039800995,0.0995024875621891,0.0995024875621891,0.221393034825871,0.0746268656716418,0.233830845771144,299,646
"80",0.0796019900497512,0.0845771144278607,0.0472636815920398,0.0522388059701493,0.0970149253731343,0.0970149253731343,0.0373134328358209,0.0621890547263682,0.0398009950248756,414,553
"81",0.171641791044776,0,0.186567164179104,0.203980099502488,0.134328358208955,0.134328358208955,0.213930348258706,0.0995024875621891,0.206467661691542,409,769
